IMDB_ID,RL_ID,Name,Release Date,Rated,Duration,Genre,Rating,Vote Count,MovieMeter,Production Company,Director,Writer,Producer,Composer,Cinematographer,Editor,Casting Directors,Product Designers,Budget,Opening Weekend,Gross (US & Canada),Gross (World),Rating_All_AllAges_Rating,Rating_All_AllAges_Number,Rating_All_under18_Rating,Rating_All_under18_Number,Rating_All_18-29_Rating,Rating_All_18-29_Number,Rating_All_30-44_Rating,Rating_All_30-44_Number,Rating_All_45above_Rating,Rating_All_45above_Number,Rating_Male_AllAges_Rating,Rating_Male_MaleAges_Number,Rating_Male_under18_Rating,Rating_Male_under18_Number,Rating_Male_18-29_Rating,Rating_Male_18-29_Number,Rating_Male_30-44_Rating,Rating_Male_30-44_Number,Rating_Male_45above_Rating,Rating_Male_45above_Number,Rating_Female_AllAges_Rating,Rating_Female_AllAges_Number,Rating_Female_under18_Rating,Rating_Female_under18_Number,Rating_Female_18-29_Rating,Rating_Female_18-29_Number,Rating_Female_30-44_Rating,Rating_Female_30-44_Number,Rating_Female_45above_Rating,Rating_Female_45above_Number,country_of_origin,Follows,Followed_by,Version_of,Spin_off,Remake_of,BestMovie_Win,BestDirector_Win,BestActor_Win,BestActress_Win,BestMovie_Nom,BestDirector_Nom,BestActor_Nom,BestActress_Nom
tt9904802,,Enemy Lines,"Updated

23-abr-2020",TV-14,92,['War'],"4,5",1.394,21.673,Happy Hour Films,Anders Banke,Michael Wright,Tom George,Philippe Jakko,,Rupert Hall,,,,,,,"4,5",1.395,"1,0",1,"4,4",61,"4,1",293,"4,7",317,"4,3",646,"1,0",1,"4,3",40,"4,0",261,"4,7",293,"5,0",68,,"4,7",19,"4,8",29,"5,6",14,"5,0",United Kingdom,,,,,,,,,,,,,
tt9903966,,Schwartz & Schwartz: Der Tod im Haus,"Updated

23-mar-2019",,90,['Crime'],7,46,838.935,Zweites Deutsches Fernsehen (ZDF),Jobst Oetzmann,Alexander Adolph,Alexander Adolph,Christoph Kaiser,Volker Tittel,Florian Duffe,Siegfried Wagner,Monika Nix,,,,,"7,0",46,-,,"7,0",2,"6,4",12,"7,1",21,"6,8",28,-,,-,,"6,1",10,"7,0",17,"8,0",5,,-,,"10,0",1,"7,3",3,"8,0",Germany,,,,,,,,,,,,,
tt9900332,,"Tonio & Julia
Ein neues Leben
","Updated

21-mar-2019",,,"['Drama', 'Romance']","6,7",14,,,Bettina Woernle,Katja Kittendorf,Nikola Bock,Micki Meuser,Tomas Erhart,Birgit Gasser,Silke Fintelmann,Christian Kettler,,,,,"6,7",14,-,,-,,"6,0",3,"6,5",8,"5,9",9,-,,-,,"6,0",3,"6,5",6,"6,5",2,,-,,-,,"6,5",2,"6,5",,,,,,,,,,,,,,
tt9900296,,"Tonio & Julia
Wenn einer geht
","Updated

14-mar-2019",,,"['Drama', 'Romance']","6,6",13,,,Stefan Bühling,Katja Kittendorf,Nikola Bock,Micki Meuser,Ralf M. Mendle,Jens Müller,Silke Fintelmann,Christian Kettler,,,,,"6,6",13,-,,-,,"5,7",3,"6,8",8,"5,8",8,-,,-,,"5,7",3,"6,7",5,"7,0",3,,-,,-,,"7,0",3,"7,0",,,,,,,,,,,,,,
tt9900286,,"Tonio & Julia
Schuldgefühle
","Updated

07-mar-2019",,,"['Drama', 'Romance']","7,2",12,,,Stefan Bühling,Gabriele Kreis,Nikola Bock,Micki Meuser,Ralf M. Mendle,Jens Müller,Silke Fintelmann,Christian Kettler,,,,,"7,2",12,-,,-,,"6,0",2,"6,9",9,"6,4",9,-,,-,,"6,0",2,"7,0",7,"6,5",2,,-,,-,,"6,5",2,"6,5",,,,,,,,,,,,,,
tt9898858,,Coffee & Kareem,"Updated

03-abr-2020",TV-MA,88,"['Action', 'Comedy', 'Crime']","5,1",12.776,15.049,Pacific Electric Picture Company,Michael Dowse,Shane Mack,Mike Falbo,Joseph Trapanese,Brian Burgoyne,Daniel Gabbe,Raylin Sabo,Jeremy Stanbridge,,,,,"5,1",12.78,"5,0",13,"5,2",1.694,"5,1",4.901,"5,0",1.477,"5,1",7.374,"5,4",8,"5,1",1.304,"5,1",4.113,"5,0",1.222,"5,2",1.372,3,"5,5",311,"5,2",678,"5,0",217,"5,2",United States,,,,,,,,,,,,,
tt9897258,,Rosa pietra stella,"ago
27,
2020",,94,['Drama'],"5,7",50,170.753,Bronx Film,Marcello Sannino,Giorgio Caruso,Pier Francesco Aiello,Riccardo Veno,,Giogiò Franchini,,Antonio Farina,€2.400.000,,,,"5,6",52,-,,"4,0",12,"5,0",14,"6,2",14,"5,2",33,-,,"3,8",8,"5,7",12,"6,5",11,"4,9",8,,"5,0",3,"2,0",1,"5,7",3,"4,9",Italy,,,,,,,,,,,,,
tt9896916,rl956859905,Pilgrim's Progress,"abr
18,
2019",PG,108,"['Animation', 'Adventure', 'Family']","6,2",601,25.965,Cat In The Mill Studio,Robert Fernandez,John Bunyan,Steve Cleary,Michael Dooley,,,,,,$678.647,$1.294.596,$3.173.282,"6,2",603,-,,"6,1",39,"6,0",174,"5,8",145,"5,7",302,-,,"6,0",29,"5,7",130,"5,4",113,"7,0",93,,"5,8",7,"6,8",42,"7,6",31,"7,0",United States,,,,,,,,,,,,,
tt9894894,,Caviar,"jun
13,
2019",,93,['Comedy'],"5,4",181,169.492,Witcraft Filmproduktion,Elena Tikhonova,Robert Buchschwenter,Alexander Glehr,Karwan Marouf,Dominik Spritzendorfer,Karin Hammer,Rita Waszilovics,Julia Oberndorfinger,,,,$501,"5,4",181,-,,"6,0",11,"5,3",63,"5,1",53,"5,1",112,-,,"5,0",7,"5,2",49,"5,1",47,"6,1",22,,"8,0",4,"5,7",11,"5,4",5,"6,1",Austria,,,,,,,,,,,,,
tt9894470,,VFW,"feb
14,
2020",Not Rated,92,"['Action', 'Crime', 'Horror']","6,1",7.258,9.468,Fangoria,Joe Begos,Max Brallier,Josh Ethier,Steve Moore,Mike Testin,Josh Ethier,David Guglielmo,Adam Dietrich,,,,$23.101,"6,1",7.271,"5,5",2,"6,3",638,"6,1",3.185,"5,9",1.375,"6,1",5.086,"5,5",2,"6,3",564,"6,1",2.935,"5,9",1.258,"5,7",375,,"5,1",55,"5,8",202,"5,8",87,"5,7",United States,,,,,,,,,,,,,
